,Brand,Clockspeed,Model,Series
377,Intel,1.60,,Celeron Dual Core N3060
378,Intel,1.1,,Celeron Dual Core N3350
379,Intel,2.8,,Core i7 7700HQ
380,Intel,2.8,,Core i7 7700HQ
381,Intel,2,,Core i3 6006U
382,Intel,2.8,,Core i7 7700HQ
383,Intel,2.5,,Core i5 7200U
384,Intel,2.7,,Core i7 7500U
385,Intel,2.7,,Core i7 7500U
386,Intel,2.4,,Core i3 7100U
387,Intel,2.6,,Core i5 6440HQ
388,Intel,2.7,,Core i7 6820HQ
389,Intel,2.7,,Core i7 7500U
390,Intel,2.8,,Core i7 7700HQ
391,Intel,2.8,,Core i7 7700HQ
392,Intel,1.6,,Core i5 8250U
393,Intel,2.8,,Core i7 7700HQ
394,Intel,2.7,,Core i7 7500U
395,AMD,3GHz,9420,A9-Series
396,Intel,1.8,,Core i7 8550U
397,Intel,2.5,,Core i5 7200U
398,Intel,2.8,,Core i7 7700HQ
399,Intel,2.7,,Core i7 7500U
400,Intel,1.1,,Celeron Dual Core N3350
401,Intel,2.8,,Core i7 7700HQ
402,Intel,1.6,,Core i5 8250U
403,Intel,2.8,,Core i7 7700HQ
404,Intel,2.8,,Core i7 7700HQ
405,Intel,2.7,,Core i7 7500U
406,Intel,2.5,,Core i7 6500U
407,Intel,2.8,,Core i7 7600U
408,Intel,2,,Core i3 6006U
409,Intel,1.1,,Celeron Dual Core N3350
410,Intel,2.8,,Core i7 7700HQ
411,Intel,2.8,,Core i7 7700HQ
412,Intel,2,,Core i3 6006U
413,Intel,2.5,,Core i7 6500U
414,Intel,2.5,,Core i5 7200U
415,Intel,2.5,,Core i5 7200U
416,Intel,2,,Core i3 6006U
417,Intel,2.5,,Core i7 6500U
418,Intel,2.5,,Core i5 7200U
419,Intel,1.8,,Core i7 8550U
420,Intel,2.8,,Core i7 7700HQ
421,Intel,1.1,,Celeron Quad Core N3450
422,Intel,2.9,,Core i7 7820HQ
423,Intel,2.4,,Core i3 7100U
424,Intel,2.9,,Core i7 7820HK
425,Intel,2.8,,Core i7 7700HQ
426,Intel,1.8,,Core i7 8550U
427,Intel,2.8,,Core i7 7600U
428,Intel,2.8,,Core i7 7700HQ
429,Intel,1.1,,Celeron Dual Core N3350
430,Intel,1.6,,Celeron Dual Core N3060
431,Intel,2.7,,Core i7 7500U
432,Intel,2.7,,Core i3 7130U
433,Intel,2.8,,Core i7 7600U
434,Intel,2.9,,Core i7 7820HQ
435,AMD,3.2GHz,1600,Ryzen
436,Intel,1.6,,Celeron Dual Core N3060
437,Intel,1.3,,Core i7 7Y75
438,Intel,2.7,,Core i7 7500U
439,Intel,2.5,,Core i5 7200U
440,AMD,2.5GHz,9220,A6-Series
441,Intel,1.6,,Core i5 8250U
442,Intel,2.5,,Core i5 7200U
443,Intel,1.1,,Pentium Quad Core N4200
444,Intel,2.8,,Core i7 7700HQ
445,Intel,2.8,,Core i5 7440HQ
446,Intel,2.5,,Core i5 7200U
447,Intel,3,,Xeon E3-1505M V6
448,Intel,2.5,,Core i5 7300HQ
449,Intel,2.5,,Core i7 7660U
450,Intel,2.5,,Core i5 7200U
451,Intel,2.7,,Core i7 6820HQ
